Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
689389,2019-10-21 01:25:32,4969856774088583,fraud_Klein Group,entertainment,9.38,Jacqueline,Prince,F,27823 Andrew Underpass Suite 948,Metairie,LA,70003,29.9975,-90.2146,137067,Advertising account planner,1951-12-04,c453e47a291edaa15efe47fad2a95387,1350782732,30.487795,-89.320235,0
792665,2019-12-02 12:38:51,36153880429415,fraud_Kutch-Wilderman,home,11.26,Erik,Stevens,M,84033 Pitts Overpass,Lakeland,FL,33809,28.1762,-81.9591,237282,Plant breeder/geneticist,1949-10-13,c43c41e8d9f41164fe3ac7c260a70a5d,1354451931,28.047008,-81.556893,0
697874,2019-10-25 08:55:39,4457732997086323466,fraud_Flatley Group,misc_pos,29.62,Stanley,Mayo,M,3433 Jones Branch,Fiddletown,CA,95629,38.5234,-120.6763,832,Immigration officer,1987-05-19,b77a14de37d2838b32ec91bc3a3fe7cb,1351155339,39.12518,-120.140966,0
982686,2020-02-03 14:26:12,4681699462969,fraud_Bernier and Sons,kids_pets,72.57,Joseph,Gonzalez,M,319 Wendy Fort Suite 179,Murfreesboro,TN,37132,35.8596,-86.421,158701,"Journalist, newspaper",1978-03-06,89b23c99ff0a2a7df0f811db994e5df0,1359901572,36.236737,-86.62704000000001,0
275103,2019-05-16 09:24:30,3560336828629935,fraud_Bailey-Morar,grocery_pos,123.45,Christopher,White,M,13613 Hammond Ferry,Clutier,IA,52217,42.0789,-92.3763,590,"Embryologist, clinical",1953-03-30,6321c55642b67f02b72de319d7067c44,1337160270,42.950291,-91.696206,0
766833,2019-11-24 14:19:54,630451534402,fraud_Fisher-Schowalter,shopping_net,6.02,Rachel,Daniels,F,561 Little Plain Apt. 738,Wetmore,MI,49895,46.3535,-86.6345,765,Immunologist,1972-06-12,a81aa32a7f0880d208d63263f8e5080e,1353766794,45.502683000000005,-86.39460799999999,0
374893,2019-06-22 14:12:11,4745996322265,fraud_McDermott-Rice,misc_pos,163.72,Carrie,Washington,F,6114 Adams Harbor Suite 096,Kingsford Heights,IN,46346,41.4802,-86.6919,1423,"Psychologist, forensic",1998-10-07,0455a633297ca89aaf77bd2768fc0beb,1340374331,42.070845,-87.085859,0
582219,2019-09-03 16:52:12,346273234529002,"fraud_Denesik, Powlowski and Pouros",home,16.94,Donna,Moreno,F,32301 Albert River Suite 364,Ronceverte,WV,24970,37.7418,-80.4626,4575,Statistician,1991-10-22,d43641a2fea03558485a616dd5b5088c,1346691132,38.490381,-80.19936,0
746105,2019-11-15 16:49:46,4265776278887457,"fraud_Schiller, Blanda and Johnson",home,51.13,Christine,Best,F,68248 Deanna Land,Enola,AR,72047,35.2087,-92.2123,969,"Physicist, medical",1954-01-05,3a00a13472af6b8a32e3af3243532bb6,1352998186,35.763295,-92.383602,0
839225,2019-12-13 11:30:23,4430881574719618,fraud_Huel Ltd,misc_net,81.33,Alicia,Morales,F,4456 Dunn Roads,Meredith,CO,81642,39.3199,-106.6596,61,Public relations account executive,1939-11-04,a08b43a48ebcacf60b727e8b67aa4701,1355398223,39.868551,-106.18531000000002,0
1034826,2020-03-04 18:13:01,6011109736646996,"fraud_Little, Gutmann and Lynch",shopping_net,27.24,Rebecca,Erickson,F,594 Berry Lights Apt. 392,Wilmington,NC,28405,34.2651,-77.867,186140,English as a second language teacher,1983-02-08,82e1a3c838f497459201647cd591891a,1362420781,35.053153,-78.696649,0
61228,2019-02-05 15:23:52,639046421587,fraud_Bauch-Blanda,entertainment,80.36,Dylan,Bonilla,M,2497 John Motorway Suite 922,Leetsdale,PA,15056,40.5662,-80.2099,1140,"Administrator, education",1986-06-20,fbcb846678eecaaf167dfe1655be19b3,1328455432,40.09746,-80.60408199999999,0
292183,2019-05-24 00:40:17,30238755902988,"fraud_Schultz, Simonis and Little",grocery_pos,117.53,Danielle,Yu,F,5395 Colon Burgs Suite 037,Thrall,TX,76578,30.592,-97.2893,1766,Press sub,1976-01-02,46a72143abdb53c094031e292ac09d13,1337820017,30.325064,-97.441683,0
1187337,2020-05-11 06:33:20,38295635583927,"fraud_Kovacek, Dibbert and Ondricka",grocery_pos,102.27,Candice,Brown,F,9412 Harris Mews,O Brien,TX,79539,33.3749,-99.8473,178,Warden/ranger,1983-06-14,f5d7c020a32230d588f254befec2aa03,1368254000,33.632081,-99.428528,0
811673,2019-12-07 10:20:01,4186530744674,"fraud_Daugherty, Pouros and Beahan",shopping_pos,2.6,Casey,Howell,F,374 Christopher Ramp Suite 855,Blackville,SC,29817,33.3645,-81.2718,4913,Technical brewer,1966-11-10,9f9be09ddc3cf1fd5026a4dce9082946,1354875601,33.278084,-80.979697,0
750076,2019-11-17 06:09:28,3533742182628021,"fraud_Reilly, Heaney and Cole",gas_transport,70.02,Robert,Haynes,M,857 Aaron Circles Suite 398,Johns Island,SC,29455,32.8357,-79.8217,20478,Materials engineer,1997-06-04,1514c3c0aa0210e5809c93538888d3c1,1353132568,32.55982,-79.308758,0
732028,2019-11-09 09:45:27,4377338765909719,"fraud_Goldner, Kovacek and Abbott",grocery_pos,77.78,Nicholas,Mcmahon,M,2123 Jonathan Falls Suite 753,Heiskell,TN,37754,36.115,-84.0438,4729,"Geologist, wellsite",1982-04-19,7163acf1d67c062d716690f4e23ffc0a,1352454327,36.794585,-84.443349,0
789732,2019-12-01 22:56:01,4900628639996,fraud_Adams-Barrows,health_fitness,30.41,Michael,Johnson,M,094 Owens Underpass,Norwalk,CA,90650,33.9056,-118.0818,105549,Firefighter,1973-09-22,893686aba25f606c516296b03c7d6f68,1354402561,34.383973,-117.909976,0
793311,2019-12-02 14:40:14,4623560839669,"fraud_Larson, Quitzon and Spencer",travel,2.5,Vincent,Waller,M,9379 Vanessa Run Apt. 400,Lohrville,IA,51453,42.2619,-94.5566,695,Administrator,1954-07-15,3793caae4d5ba99c1216c2cc47e2d02e,1354459214,42.320847,-93.902241,0
155678,2019-03-24 12:36:36,213154573301411,"fraud_Moore, Williamson and Emmerich",home,79.15,Christopher,Sheppard,M,39218 Baker Shoals,Bristow,IN,47515,38.1981,-86.6821,965,Horticultural therapist,1982-02-10,3e35c23d8eed41d4af2bd95f30698fc8,1332592596,37.333657,-85.774808,0
985669,2020-02-05 15:32:05,6538891242532018,fraud_Jakubowski Group,food_dining,125.17,Jodi,Rodriguez,F,5796 Lee Coves Apt. 286,Walnut Ridge,AR,72476,36.0244,-90.9288,7155,"Engineer, control and instrumentation",1977-03-23,9b5dd6d2429b9e95a2c24a0d9940431e,1360078325,35.859411,-90.507336,0
757707,2019-11-20 07:32:29,180018375329178,fraud_Kuvalis Ltd,gas_transport,63.45,Michelle,Woods,F,952 Joseph Throughway,Munith,MI,49259,42.3703,-84.2485,2523,Geophysicist/field seismologist,1988-03-21,ab119046233ee639e901dad574c8b43f,1353396749,42.382568,-85.164411,0
1203722,2020-05-18 10:25:32,30551643947183,fraud_Dach-Borer,grocery_net,65.94,Morgan,Smith,F,1441 Bradley Place,Grover,NC,28073,35.1836,-81.4552,5621,Toxicologist,1973-11-14,a4f05b0429e0e6e9c305a88955348116,1368872732,35.815372,-81.179455,0
1052961,2020-03-12 23:11:28,343472729187663,fraud_Pagac LLC,shopping_pos,487.97,Gloria,Wallace,F,234 Bridges Wells Apt. 389,Center Tuftonboro,NH,3816,43.6849,-71.2551,1368,"Optician, dispensing",1971-08-05,8c9a4646f0ba06e470902e6fb121a716,1363129888,44.500489,-71.429899,0
1285573,2020-06-16 17:57:30,2268221587779419,fraud_Altenwerth-Kilback,home,50.92,Peggy,Berry,F,517 Vasquez Lodge,Vancouver,WA,98665,45.6892,-122.6616,299480,Teaching laboratory technician,1985-01-02,41c9a796eb9d213034ea0f2a75438a12,1371405450,45.510352000000005,-122.672238,0
1278747,2020-06-15 00:08:45,4570636521433188,fraud_Welch Inc,misc_net,92.25,Christine,Leblanc,F,5097 Jodi Vista Suite 811,Deltona,FL,32725,28.8989,-81.2473,88735,Commercial horticulturist,1988-04-09,08d90147e87132adf8178500521bb7d2,1371254925,28.628725,-80.55776800000001,0
1102324,2020-04-03 19:27:32,4170689372027579,"fraud_Daugherty, Pouros and Beahan",shopping_pos,8.24,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,1993-05-10,6334ae60de97c8f0642ee27a1f69b7e8,1365017252,36.370642,-96.628859,0
63920,2019-02-07 13:02:31,3542162746848552,fraud_Altenwerth-Kilback,home,39.0,Bradley,Anderson,M,3896 Gilmore Mill,Emmons,MN,56029,43.5089,-93.4824,744,Communications engineer,1968-01-28,02897fbaf1f2a52800b5f10d62282be8,1328619751,42.80988,-92.719888,0
995620,2020-02-10 23:45:17,4917187576956394,"fraud_Schroeder, Hauck and Treutel",entertainment,4.81,Joel,Rivera,M,121 Solis Summit Apt. 934,Tryon,OK,74875,35.8759,-96.9623,1165,"Psychotherapist, child",1944-11-11,a15428541d1416f92864c0ba03184548,1360539917,35.015399,-96.887898,0
580836,2019-09-02 21:04:47,3540210836308425,"fraud_Haley, Batz and Auer",health_fitness,74.14,Steven,Yoder,M,94975 David Mews Apt. 316,Summerfield,TX,79085,34.7437,-102.5064,53,Fisheries officer,1992-06-19,286c354c6de45d614f23d53731c19320,1346619887,34.402831,-103.077039,0
679242,2019-10-16 19:27:18,30143535920989,fraud_Schumm PLC,shopping_net,2.33,Lisa,Collins,F,44197 Jeffrey Port Suite 050,Bridgeport,NJ,8014,39.8016,-75.3478,504,"Engineer, control and instrumentation",1980-08-17,7fc5ed07bb7bdd985d44b43d076d0bc8,1350415638,39.223234000000005,-75.24284200000001,0
1117873,2020-04-10 13:43:29,2720433095629877,"fraud_Hahn, Douglas and Schowalter",travel,8.38,Mark,Wood,M,854 Walker Dale Suite 488,Bowdoin,ME,4287,44.0575,-69.9656,3224,"Engineer, electronics",1997-08-22,10e876b34d9a3766444f7fcd42ef1759,1365601409,44.868709,-70.561657,0
390563,2019-06-28 02:34:15,4561368699336875,"fraud_Ferry, Lynch and Kautzer",misc_net,8.83,Pamela,Lewis,F,653 Jessica Extension Apt. 668,Clifton,SC,29324,34.9906,-81.8327,167,Museum/gallery conservator,1988-11-01,d011879d715672411cf6d996d9bea00d,1340850855,35.488029,-81.406325,0
427588,2019-07-11 00:36:02,4826655832045236,fraud_Emard Inc,gas_transport,57.31,Tami,Forbes,F,5204 Robinson Plaza Suite 897,Barnstable,MA,2630,41.6983,-70.3001,1850,Counselling psychologist,1963-12-29,b409be832b0a2121ec6e5309d19eab91,1341966962,42.261853,-69.809425,0
